X Coodinate [mm],Z Coodinate [mm],Height [nm]
0.798212963,-0.043333333,-53.4364423
0.798212963,-0.086666667,-53.3821406
0.798212963,-0.13,-53.2999121
0.798212963,-0.173333333,-53.1986697
0.798212963,-0.216666667,-53.0867739
0.798212963,-0.26,-52.9700928
0.870777778,-0.043333333,-53.1501493
0.870777778,-0.086666667,-53.103661
0.870777778,-0.13,-53.0329513
0.870777778,-0.173333333,-52.9456079
0.870777778,-0.216666667,-52.848433
0.870777778,-0.26,-52.7461899
0.943342593,-0.043333333,-52.869841
0.943342593,-0.086666667,-52.8304898
0.943342593,-0.13,-52.7704228
0.943342593,-0.173333333,-52.6957703
0.943342593,-0.216666667,-52.6119404
0.943342593,-0.26,-52.5231914
1.01590741,-0.043333333,-52.5982875
1.01590741,-0.086666667,-52.5653187
1.01590741,-0.13,-52.5146989
1.01590741,-0.173333333,-52.4512996
1.01590741,-0.216666667,-52.3797978
1.01590741,-0.26,-52.3035346
1.08847222,-0.043333333,-52.3370017
1.08847222,-0.086666667,-52.3095822
1.08847222,-0.13,-52.2674059
1.08847222,-0.173333333,-52.2143366
1.08847222,-0.216666667,-52.153983
1.08847222,-0.26,-52.0890047
1.16103704,-0.043333333,-52.0870079
1.16103704,-0.086666667,-52.0646516
1.16103704,-0.13,-52.0300555
1.16103704,-0.173333333,-51.9861771
1.16103704,-0.216666667,-51.9357681
1.16103704,-0.26,-51.8809
1.23360185,-0.043333333,-51.8487478
1.23360185,-0.086666667,-51.8309217
1.23360185,-0.13,-51.8031207
1.23360185,-0.173333333,-51.7674739
1.23360185,-0.216666667,-51.7259643
1.23360185,-0.26,-51.6801248
1.30616667,-0.043333333,-51.6210734
1.30616667,-0.086666667,-51.6076319
1.30616667,-0.13,-51.5863134
1.30616667,-0.173333333,-51.5584038
1.30616667,-0.216666667,-51.5251804
1.30616667,-0.26,-51.4876937
-0.072564815,0,-55.575383
-0.14512963,0,-55.4958924
-0.217694444,0,-55.3705037
-0.290259259,0,-55.2028055
-0.362824074,0,-54.9968052
-0.435388889,0,-54.7582046
-0.507953704,0,-54.4933345
-0.580518519,0,-54.2084905
-0.653083333,0,-53.9107361
-0.725648148,0,-53.6060617
-0.798212963,0,-53.3001263
-0.870777778,0,-52.9972854
-0.943342593,0,-52.7007781
-1.01590741,0,-52.4133647
-1.08847222,0,-52.1365565
-1.16103704,0,-51.8713784
-1.23360185,0,-51.6181982
-1.30616667,0,-51.3756979
-1.30616667,-0.043333333,-51.3711025
-1.30616667,-0.086666667,-51.3576843
-1.30616667,-0.13,-51.3364147
-1.30616667,-0.173333333,-51.3085785
-1.30616667,-0.216666667,-51.2754356
-1.30616667,-0.26,-51.2380445
-1.23360185,-0.043333333,-51.6120521
-1.23360185,-0.086666667,-51.5942606
-1.23360185,-0.13,-51.5665092
-1.23360185,-0.173333333,-51.5309118
-1.23360185,-0.216666667,-51.4894651
-1.23360185,-0.26,-51.4437233
-1.16103704,-0.043333333,-51.8636384
-1.16103704,-0.086666667,-51.8413231
-1.16103704,-0.13,-51.8067885
-1.16103704,-0.173333333,-51.7629822
-1.16103704,-0.216666667,-51.7126626
-1.16103704,-0.26,-51.6578791
-1.08847222,-0.043333333,-52.1270313
-1.08847222,-0.086666667,-52.0996636
-1.08847222,-0.13,-52.0575527
-1.08847222,-0.173333333,-52.0045694
-1.08847222,-0.216666667,-51.9443159
-1.08847222,-0.26,-51.8794411
-1.01590741,-0.043333333,-52.4018872
