X Coodinate [mm],Z Coodinate [mm],Height [nm]
-1.99E-01,-3.22E-02,-1.38E+01
-1.99E-01,-6.43E-02,-1.37E+01
-1.99E-01,-9.65E-02,-1.37E+01
-1.99E-01,-1.29E-01,-1.37E+01
-1.99E-01,-1.61E-01,-1.36E+01
-1.99E-01,-1.93E-01,-1.36E+01
-1.49E-01,-3.22E-02,-1.38E+01
-1.49E-01,-6.43E-02,-1.38E+01
-1.49E-01,-9.65E-02,-1.37E+01
-1.49E-01,-1.29E-01,-1.37E+01
-1.49E-01,-1.61E-01,-1.36E+01
-1.49E-01,-1.93E-01,-1.36E+01
-9.93E-02,-3.22E-02,-1.38E+01
-9.93E-02,-6.43E-02,-1.38E+01
-9.93E-02,-9.65E-02,-1.38E+01
-9.93E-02,-1.29E-01,-1.37E+01
-9.93E-02,-1.61E-01,-1.37E+01
-9.93E-02,-1.93E-01,-1.36E+01
-4.96E-02,-3.22E-02,-1.38E+01
-4.96E-02,-6.43E-02,-1.38E+01
-4.96E-02,-9.65E-02,-1.38E+01
-4.96E-02,-1.29E-01,-1.37E+01
-4.96E-02,-1.61E-01,-1.37E+01
-4.96E-02,-1.93E-01,-1.36E+01
